Date,Cases,Dew Point
2020-03-04,1,21.861111
2020-03-05,4,22.083333
2020-03-06,6,22.185185
2020-03-07,6,21.935185
2020-03-08,6,22.009259
2020-03-09,0,21.768519
2020-03-10,9,21.351852
2020-03-11,18,22.111111
2020-03-12,25,22.277778
2020-03-13,21,22.287037
2020-03-14,23,22.25
2020-03-15,79,22.074074
2020-03-16,34,21.259259
2020-03-17,57,21.398148
2020-03-18,137,22.388889
2020-03-19,193,22.472222
2020-03-20,283,22.527778
2020-03-21,224,22.148148
2020-03-22,418,21.916667
2020-03-23,345,22.787037
2020-03-24,310,22.851852
2020-03-25,232,22.277778
2020-03-26,482,22.657407
2020-03-27,502,22.648148
2020-03-28,486,22.407407
2020-03-29,353,21.990741
2020-03-30,323,21.611111
2020-03-31,1138,20.703704
2020-04-01,1117,21.296296
2020-04-02,1076,21.787037
2020-04-03,1146,22.055556
2020-04-04,1222,22.268519
2020-04-05,852,21.796296
2020-04-06,926,21.87037
2020-04-07,1661,22.546296
2020-04-08,2210,21.916667
2020-04-09,1930,21.694444
2020-04-10,1781,21.666667
2020-04-11,1089,22.046296
2020-04-12,1442,22.083333
2020-04-13,1261,21.787037
2020-04-14,1832,21.537037
2020-04-15,3058,19.898148
2020-04-16,2105,20.675926
2020-04-17,3257,21.509259
2020-04-18,2917,21.351852
2020-04-19,2055,21.111111
2020-04-20,1927,21.453704
2020-04-21,2498,21
2020-04-22,2678,21.490741
2020-04-23,3735,21.592593
2020-04-24,3503,21.990741
2020-04-25,5514,21.796296
2020-04-26,3379,20.046296
2020-04-27,4613,18.555556
2020-04-28,5385,19.212963
2020-04-29,6276,18.75
2020-04-30,7218,17.990741
2020-05-01,5919,18.092593
2020-05-02,5097,17.638889
2020-05-03,4751,16.925926
2020-05-04,6633,17.277778
2020-05-05,6935,18.796296
2020-05-06,10503,20.759259
2020-05-07,9888,19.916667
2020-05-08,10222,18.138889
2020-05-09,10611,18.324074
2020-05-10,6760,19.555556
2020-05-11,5632,19.805556
2020-05-12,9258,18.731481
2020-05-13,11385,18.814815
2020-05-14,13944,20.822222
2020-05-15,15305,20.435185
2020-05-16,14919,19.972222
2020-05-17,7938,18.712963
2020-05-18,13140,18.398148
2020-05-19,17408,19.861111
2020-05-20,19951,20.527778
2020-05-21,18508,19.962963
2020-05-22,20803,19.916667
2020-05-23,16508,20.194444
2020-05-24,15813,16.314815
2020-05-25,11687,17.185185
2020-05-26,16324,13.425926
2020-05-27,20599,11.231481
2020-05-28,26417,12.777778
2020-05-29,26928,12.009259
2020-05-30,33274,13.055556
2020-05-31,15760,14.518519
2020-06-01,12247,14.255556
2020-06-02,28936,15.011111
2020-06-03,28633,16.188889
2020-06-04,30925,17.3
2020-06-05,30830,19.2
2020-06-06,27075,19.933333
2020-06-07,18912,19.811111
2020-06-08,15654,19.033333
2020-06-09,32091,18.244444
2020-06-10,32913,17.222222
2020-06-11,30412,16.731481
2020-06-12,25982,17.044444
2020-06-13,21704,15.842593
2020-06-14,17110,15.377778
2020-06-15,20647,15.022222
2020-06-16,34918,15.077778
2020-06-17,32188,16.037037
2020-06-18,22765,16.287037
2020-06-19,54771,16.222222
2020-06-20,34666,15.740741
2020-06-21,17459,15.314815
2020-06-22,21432,13.805556
2020-06-23,39436,12.907407
2020-06-24,42725,15.688889
2020-06-25,39483,17.041667
2020-06-26,46860,15.62963
2020-06-27,38693,17.180556
2020-06-28,30476,15.544444
2020-06-29,24052,14.342593
2020-06-30,33846,13.537037
2020-07-01,46712,16.430556
2020-07-02,48105,15.416667
2020-07-03,42223,14.911111
2020-07-04,37923,13.466667
2020-07-05,26051,13.574074
2020-07-06,20229,13.555556
2020-07-07,45305,13.188889
2020-07-08,44571,13.877778
2020-07-09,42619,14.233333
2020-07-10,45048,13.033333
2020-07-11,39023,12.833333
2020-07-12,24831,15.077778
2020-07-13,20286,15.433333
2020-07-14,41857,13.527778
2020-07-15,39924,11.855556
2020-07-16,45403,10.902778
2020-07-17,34177,12.013889
2020-07-18,28532,13.2
2020-07-19,23529,12.569444
2020-07-20,20257,12.597222
2020-07-21,41008,11.9
2020-07-22,67860,12.097222
2020-07-23,59961,12.944444
2020-07-24,55891,11.555556
