Date,Cases,Relative Humidity
2020-03-04,1,74.270646
2020-03-05,4,77.438018
2020-03-06,6,78.456465
2020-03-07,6,79.04292
2020-03-08,6,72.096827
2020-03-09,0,73.02094
2020-03-10,9,68.512912
2020-03-11,18,76.183385
2020-03-12,25,78.410879
2020-03-13,21,73.858642
2020-03-14,23,75.569211
2020-03-15,79,83.091726
2020-03-16,34,75.750753
2020-03-17,57,68.270515
2020-03-18,137,71.167938
2020-03-19,193,70.669477
2020-03-20,283,80.198949
2020-03-21,224,82.968367
2020-03-22,418,74.316815
2020-03-23,345,80.894985
2020-03-24,310,82.0228
2020-03-25,232,80.261184
2020-03-26,482,81.168221
2020-03-27,502,82.398179
2020-03-28,486,84.619509
2020-03-29,353,78.208311
2020-03-30,323,68.891474
2020-03-31,1138,63.889727
2020-04-01,1117,63.651337
2020-04-02,1076,64.843286
2020-04-03,1146,66.34404
2020-04-04,1222,69.856464
2020-04-05,852,60.482509
2020-04-06,926,60.752118
2020-04-07,1661,73.760867
2020-04-08,2210,71.313142
2020-04-09,1930,69.425369
2020-04-10,1781,70.88833
2020-04-11,1089,73.858352
2020-04-12,1442,74.083613
2020-04-13,1261,71.005933
2020-04-14,1832,86.609064
2020-04-15,3058,76.667917
2020-04-16,2105,76.462679
2020-04-17,3257,77.210957
2020-04-18,2917,83.683489
2020-04-19,2055,74.638344
2020-04-20,1927,77.880413
2020-04-21,2498,74.272029
2020-04-22,2678,78.910955
2020-04-23,3735,75.925811
2020-04-24,3503,77.959446
2020-04-25,5514,72.405456
2020-04-26,3379,64.582185
2020-04-27,4613,62.322893
2020-04-28,5385,63.898507
2020-04-29,6276,61.80384
2020-04-30,7218,60.214747
2020-05-01,5919,61.209781
2020-05-02,5097,57.795366
2020-05-03,4751,56.26959
2020-05-04,6633,58.11277
2020-05-05,6935,60.3396
2020-05-06,10503,71.649324
2020-05-07,9888,76.738953
2020-05-08,10222,66.998988
2020-05-09,10611,66.143031
2020-05-10,6760,67.845446
2020-05-11,5632,66.824419
2020-05-12,9258,62.526095
2020-05-13,11385,64.070981
2020-05-14,13944,73.128138
2020-05-15,15305,70.384465
2020-05-16,14919,68.513092
2020-05-17,7938,65.277631
2020-05-18,13140,63.102016
2020-05-19,17408,70.256754
2020-05-20,19951,67.595706
2020-05-21,18508,63.443289
2020-05-22,20803,63.192565
2020-05-23,16508,76.478067
2020-05-24,15813,72.015872
2020-05-25,11687,68.441716
2020-05-26,16324,55.860748
2020-05-27,20599,49.852086
2020-05-28,26417,55.382706
2020-05-29,26928,46.16069
2020-05-30,33274,48.767868
2020-05-31,15760,52.564451
2020-06-01,12247,53.407173
2020-06-02,28936,57.499666
2020-06-03,28633,60.135532
2020-06-04,30925,59.97601
2020-06-05,30830,60.482131
2020-06-06,27075,64.975552
2020-06-07,18912,63.388879
2020-06-08,15654,59.489686
2020-06-09,32091,58.646527
2020-06-10,32913,55.03725
2020-06-11,30412,53.402796
2020-06-12,25982,56.342437
2020-06-13,21704,48.223851
2020-06-14,17110,50.76763
2020-06-15,20647,51.09784
2020-06-16,34918,54.400959
2020-06-17,32188,56.401268
2020-06-18,22765,55.941744
2020-06-19,54771,55.477549
2020-06-20,34666,53.916401
2020-06-21,17459,51.327215
2020-06-22,21432,48.336043
2020-06-23,39436,47.233296
2020-06-24,42725,54.058184
2020-06-25,39483,55.404625
2020-06-26,46860,47.808206
2020-06-27,38693,60.11255
2020-06-28,30476,49.232253
2020-06-29,24052,45.325367
2020-06-30,33846,45.689896
2020-07-01,46712,52.05367
2020-07-02,48105,49.301228
2020-07-03,42223,46.131913
2020-07-04,37923,41.783938
2020-07-05,26051,42.268435
2020-07-06,20229,43.145399
2020-07-07,45305,46.264066
2020-07-08,44571,49.749009
2020-07-09,42619,47.747195
2020-07-10,45048,44.100477
2020-07-11,39023,43.418302
2020-07-12,24831,51.482767
2020-07-13,20286,51.651187
2020-07-14,41857,41.62418
2020-07-15,39924,39.480311
2020-07-16,45403,38.51223
2020-07-17,34177,40.087506
2020-07-18,28532,43.649394
2020-07-19,23529,43.68199
2020-07-20,20257,44.114706
2020-07-21,41008,43.072815
2020-07-22,67860,42.260957
2020-07-23,59961,42.22204
2020-07-24,55891,39.155488
2020-07-25,51147,42.378367
2020-07-26,24578,42.776958
2020-07-27,23284,45.149252
2020-07-28,40816,41.900081
2020-07-29,69074,44.621533
2020-07-30,57837,46.038626
2020-07-31,52383,34.663672
2020-08-01,45392,35.035046
2020-08-02,25800,40.319279
2020-08-03,16641,36.094203
2020-08-04,51603,39.694545
2020-08-05,55676,38.014789
2020-08-06,54615,36.175385
2020-08-07,50230,42.379848
2020-08-08,49970,40.412465
2020-08-09,23010,37.858781
2020-08-10,22048,39.046473
2020-08-11,52160,43.295305
2020-08-12,55155,40.976115
2020-08-13,60091,38
2020-08-14,50644,36.471512
2020-08-15,41576,37.300015
2020-08-16,23101,38.299796
2020-08-17,19373,37.76991
2020-08-18,47784,33.213882
2020-08-19,49298,33.565256
2020-08-20,45323,37.522602
2020-08-21,30355,40.247171
2020-08-22,50032,42.067368
2020-08-23,23421,60.546468
2020-08-24,17078,28.30612
2020-08-25,47134,50.414166
2020-08-26,47161,33.28992
2020-08-27,44235,26.812815
2020-08-28,43412,26.153951
2020-08-29,41350,28.672612
2020-08-30,16158,28.925103
2020-08-31,45961,30.760659
2020-09-01,42659,31.620131
2020-09-02,46934,31.99204
2020-09-03,43773,33.262319
2020-09-04,51194,32.487112
2020-09-05,30168,31.136463
2020-09-06,14521,30.301571
2020-09-07,10273,28.63441
2020-09-08,14279,30.225289
2020-09-09,35816,27.81498
2020-09-10,40557,27.603185
2020-09-11,43718,29.442401
2020-09-12,33523,24.419307
2020-09-13,14768,26.999981
2020-09-14,15155,30.829237
2020-09-15,36653,29.392764
2020-09-16,36820,33.506228
2020-09-17,36303,28.090104
2020-09-18,39797,30.059952
2020-09-19,33057,33.903173
2020-09-20,16389,40.537176
2020-09-21,13439,44.27849
2020-09-22,33536,70.365445
2020-09-23,33281,68.384583
2020-09-24,32817,43.459922
2020-09-25,31911,35.852876
2020-09-26,28378,44.451423
2020-09-27,14318,40.883713
2020-09-28,13155,30.810728
2020-09-29,32058,28.659305
2020-09-30,33413,29.961722
2020-10-01,36157,30.876658
2020-10-02,33431,36.161332
2020-10-03,26310,31.836717
2020-10-04,8456,30.242679
2020-10-05,11946,31.499081
2020-10-06,41906,35.759829
