Date,Cases,Mobility: Workplaces
2020-03-04,1,16
2020-03-05,4,18
2020-03-06,6,18
2020-03-07,6,7
2020-03-08,6,3
2020-03-09,0,21
2020-03-10,9,17
2020-03-11,18,17
2020-03-12,25,17
2020-03-13,21,18
2020-03-14,23,6
2020-03-15,79,0
2020-03-16,34,14
2020-03-17,57,3
2020-03-18,137,-6
2020-03-19,193,-17
2020-03-20,283,-21
2020-03-21,224,-30
2020-03-22,418,-34
2020-03-23,345,-42
2020-03-24,310,-51
2020-03-25,232,-52
2020-03-26,482,-50
2020-03-27,502,-48
2020-03-28,486,-41
2020-03-29,353,-34
2020-03-30,323,-43
2020-03-31,1138,-45
2020-04-01,1117,-45
2020-04-02,1076,-45
2020-04-03,1146,-42
2020-04-04,1222,-35
2020-04-05,852,-30
2020-04-06,926,-38
2020-04-07,1661,-40
2020-04-08,2210,-40
2020-04-09,1930,-41
2020-04-10,1781,-72
2020-04-11,1089,-36
2020-04-12,1442,-26
2020-04-13,1261,-35
2020-04-14,1832,-39
2020-04-15,3058,-38
2020-04-16,2105,-38
2020-04-17,3257,-36
2020-04-18,2917,-28
2020-04-19,2055,-25
2020-04-20,1927,-39
2020-04-21,2498,-67
2020-04-22,2678,-34
2020-04-23,3735,-36
2020-04-24,3503,-32
2020-04-25,5514,-25
2020-04-26,3379,-23
2020-04-27,4613,-30
2020-04-28,5385,-33
2020-04-29,6276,-32
2020-04-30,7218,-31
2020-05-01,5919,-66
2020-05-02,5097,-27
2020-05-03,4751,-21
2020-05-04,6633,-27
2020-05-05,6935,-31
2020-05-06,10503,-31
2020-05-07,9888,-31
2020-05-08,10222,-28
2020-05-09,10611,-19
2020-05-10,6760,-5
2020-05-11,5632,-27
2020-05-12,9258,-31
2020-05-13,11385,-31
2020-05-14,13944,-31
2020-05-15,15305,-29
2020-05-16,14919,-21
2020-05-17,7938,-16
2020-05-18,13140,-26
2020-05-19,17408,-29
2020-05-20,19951,-31
2020-05-21,18508,-31
2020-05-22,20803,-28
2020-05-23,16508,-20
2020-05-24,15813,-17
2020-05-25,11687,-34
2020-05-26,16324,-28
2020-05-27,20599,-27
2020-05-28,26417,-27
2020-05-29,26928,-24
2020-05-30,33274,-12
2020-05-31,15760,-8
2020-06-01,12247,-21
2020-06-02,28936,-25
2020-06-03,28633,-24
2020-06-04,30925,-24
2020-06-05,30830,-21
2020-06-06,27075,-11
2020-06-07,18912,-6
2020-06-08,15654,-19
2020-06-09,32091,-23
2020-06-10,32913,-22
2020-06-11,30412,-51
2020-06-12,25982,-27
2020-06-13,21704,-11
2020-06-14,17110,-5
2020-06-15,20647,-19
2020-06-16,34918,-22
2020-06-17,32188,-22
2020-06-18,22765,-22
2020-06-19,54771,-20
2020-06-20,34666,-7
2020-06-21,17459,-1
2020-06-22,21432,-19
2020-06-23,39436,-22
2020-06-24,42725,-24
2020-06-25,39483,-22
2020-06-26,46860,-20
2020-06-27,38693,-12
2020-06-28,30476,-5
2020-06-29,24052,-19
2020-06-30,33846,-22
2020-07-01,46712,-22
2020-07-02,48105,-22
2020-07-03,42223,-19
2020-07-04,37923,-7
2020-07-05,26051,-3
2020-07-06,20229,-18
2020-07-07,45305,-22
2020-07-08,44571,-21
2020-07-09,42619,-21
2020-07-10,45048,-18
2020-07-11,39023,-7
2020-07-12,24831,-3
2020-07-13,20286,-17
2020-07-14,41857,-21
2020-07-15,39924,-20
2020-07-16,45403,-20
2020-07-17,34177,-17
2020-07-18,28532,-6
2020-07-19,23529,-2
2020-07-20,20257,-16
2020-07-21,41008,-20
2020-07-22,67860,-18
2020-07-23,59961,-18
2020-07-24,55891,-16
2020-07-25,51147,-6
2020-07-26,24578,-2
2020-07-27,23284,-16
2020-07-28,40816,-19
2020-07-29,69074,-19
2020-07-30,57837,-19
