Date,Cases,Stringency Index
2020-03-04,1,11.11
2020-03-05,4,11.11
2020-03-06,6,11.11
2020-03-07,6,11.11
2020-03-08,6,11.11
2020-03-09,0,11.11
2020-03-10,9,11.11
2020-03-11,18,11.11
2020-03-12,25,28.7
2020-03-13,21,37.96
2020-03-14,23,42.13
2020-03-15,79,42.13
2020-03-16,34,42.13
2020-03-17,57,57.87
2020-03-18,137,60.65
2020-03-19,193,66.2
2020-03-20,283,66.2
2020-03-21,224,71.76
2020-03-22,418,71.76
2020-03-23,345,71.76
2020-03-24,310,71.76
2020-03-25,232,71.76
2020-03-26,482,71.76
2020-03-27,502,74.54
2020-03-28,486,74.54
2020-03-29,353,74.54
2020-03-30,323,74.54
2020-03-31,1138,74.54
2020-04-01,1117,74.54
2020-04-02,1076,74.54
2020-04-03,1146,74.54
2020-04-04,1222,74.54
2020-04-05,852,74.54
2020-04-06,926,74.54
2020-04-07,1661,74.54
2020-04-08,2210,74.54
2020-04-09,1930,74.54
2020-04-10,1781,74.54
2020-04-11,1089,74.54
2020-04-12,1442,74.54
2020-04-13,1261,74.54
2020-04-14,1832,74.54
2020-04-15,3058,74.54
2020-04-16,2105,74.54
2020-04-17,3257,74.54
2020-04-18,2917,74.54
2020-04-19,2055,74.54
2020-04-20,1927,74.54
2020-04-21,2498,74.54
2020-04-22,2678,74.54
2020-04-23,3735,74.54
2020-04-24,3503,74.54
2020-04-25,5514,74.54
2020-04-26,3379,77.31
2020-04-27,4613,77.31
2020-04-28,5385,77.31
2020-04-29,6276,77.31
2020-04-30,7218,77.31
2020-05-01,5919,77.31
2020-05-02,5097,77.31
2020-05-03,4751,77.31
2020-05-04,6633,77.31
2020-05-05,6935,81.02
2020-05-06,10503,81.02
2020-05-07,9888,81.02
2020-05-08,10222,81.02
2020-05-09,10611,81.02
2020-05-10,6760,81.02
2020-05-11,5632,81.02
2020-05-12,9258,81.02
2020-05-13,11385,81.02
2020-05-14,13944,81.02
2020-05-15,15305,81.02
2020-05-16,14919,81.02
2020-05-17,7938,81.02
2020-05-18,13140,81.02
2020-05-19,17408,81.02
2020-05-20,19951,81.02
2020-05-21,18508,81.02
2020-05-22,20803,81.02
2020-05-23,16508,81.02
2020-05-24,15813,81.02
2020-05-25,11687,81.02
2020-05-26,16324,81.02
2020-05-27,20599,81.02
