Date,Cases,Temperature
2020-03-04,1,26.962963
2020-03-05,4,26.490741
2020-03-06,6,26.37037
2020-03-07,6,25.888889
2020-03-08,6,27.666667
2020-03-09,0,27.157407
2020-03-10,9,27.888889
2020-03-11,18,26.907407
2020-03-12,25,26.388889
2020-03-13,21,27.453704
2020-03-14,23,27.027778
2020-03-15,79,25.185185
2020-03-16,34,25.935185
2020-03-17,57,27.972222
2020-03-18,137,28.166667
2020-03-19,193,28.388889
2020-03-20,283,26.222222
2020-03-21,224,25.268519
2020-03-22,418,26.916667
2020-03-23,345,26.342593
2020-03-24,310,26.231481
2020-03-25,232,25.953704
2020-03-26,482,26.157407
2020-03-27,502,25.907407
2020-03-28,486,25.231481
2020-03-29,353,26.111111
2020-03-30,323,27.925926
2020-03-31,1138,28.259259
2020-04-01,1117,28.990741
2020-04-02,1076,29.185185
2020-04-03,1146,29.018519
2020-04-04,1222,28.462963
2020-04-05,852,30.425926
2020-04-06,926,30.407407
2020-04-07,1661,27.712963
2020-04-08,2210,27.62037
2020-04-09,1930,27.944444
2020-04-10,1781,27.564815
2020-04-11,1089,27.231481
2020-04-12,1442,27.222222
2020-04-13,1261,27.685185
2020-04-14,1832,23.944444
2020-04-15,3058,24.333333
2020-04-16,2105,25.277778
2020-04-17,3257,25.87037
2020-04-18,2917,24.314815
2020-04-19,2055,25.990741
2020-04-20,1927,25.777778
2020-04-21,2498,26.064815
2020-04-22,2678,25.472222
2020-04-23,3735,26.231481
2020-04-24,3503,26.157407
2020-04-25,5514,27.231481
2020-04-26,3379,27.509259
2020-04-27,4613,26.472222
2020-04-28,5385,26.759259
2020-04-29,6276,26.907407
2020-04-30,7218,26.509259
2020-05-01,5919,26.240741
2020-05-02,5097,26.787037
2020-05-03,4751,26.527778
2020-05-04,6633,26.37963
2020-05-05,6935,27.351852
2020-05-06,10503,26.37037
2020-05-07,9888,24.351852
2020-05-08,10222,24.777778
2020-05-09,10611,25.240741
2020-05-10,6760,26.037037
2020-05-11,5632,26.638889
2020-05-12,9258,26.657407
2020-05-13,11385,26.305556
2020-05-14,13944,26.155556
2020-05-15,15305,26.37037
2020-05-16,14919,26.333333
2020-05-17,7938,25.87037
2020-05-18,13140,26.185185
2020-05-19,17408,25.842593
2020-05-20,19951,27.185185
2020-05-21,18508,27.694444
2020-05-22,20803,27.768519
2020-05-23,16508,24.777778
2020-05-24,15813,21.657407
2020-05-25,11687,23.462963
2020-05-26,16324,23
2020-05-27,20599,22.685185
2020-05-28,26417,22.388889
2020-05-29,26928,25.333333
2020-05-30,33274,25.092593
2020-05-31,15760,25.240741
2020-06-01,12247,24.655556
2020-06-02,28936,24.433333
2020-06-03,28633,24.677778
2020-06-04,30925,26.011111
2020-06-05,30830,27.755556
2020-06-06,27075,27.433333
2020-06-07,18912,27.566667
2020-06-08,15654,27.833333
2020-06-09,32091,27.311111
2020-06-10,32913,27.355556
2020-06-11,30412,27.314815
2020-06-12,25982,26.655556
2020-06-13,21704,28.203704
2020-06-14,17110,26.722222
2020-06-15,20647,26.155556
2020-06-16,34918,25.133333
2020-06-17,32188,25.574074
2020-06-18,22765,26.055556
2020-06-19,54771,26.157407
2020-06-20,34666,26.083333
2020-06-21,17459,26.490741
2020-06-22,21432,26.037037
2020-06-23,39436,25.574074
2020-06-24,42725,26
2020-06-25,39483,27.291667
2020-06-26,46860,28.12037
2020-06-27,38693,25.680556
2020-06-28,30476,27.533333
2020-06-29,24052,27.777778
2020-06-30,33846,27.074074
2020-07-01,46712,27.625
2020-07-02,48105,27.597222
2020-07-03,42223,28.155556
2020-07-04,37923,28.288889
2020-07-05,26051,28.342593
2020-07-06,20229,27.759259
2020-07-07,45305,26.244444
2020-07-08,44571,25.677778
2020-07-09,42619,26.788889
2020-07-10,45048,26.877778
2020-07-11,39023,26.922222
2020-07-12,24831,26.655556
2020-07-13,20286,27.033333
2020-07-14,41857,28.638889
2020-07-15,39924,28.144444
2020-07-16,45403,27.180556
2020-07-17,34177,27.555556
2020-07-18,28532,27.466667
2020-07-19,23529,26.652778
2020-07-20,20257,26.486111
