Date,Cases,Mobility: Workplaces
2020-03-02,2,0
2020-03-03,1,0
2020-03-04,22,3
2020-03-05,1,2
2020-03-06,2,3
2020-03-07,3,5
2020-03-08,6,3
2020-03-09,10,-6
2020-03-10,6,-22
2020-03-11,23,-1
2020-03-12,2,0
2020-03-13,8,-2
2020-03-14,7,-8
2020-03-15,3,-7
2020-03-16,32,-6
2020-03-17,12,-9
2020-03-18,28,-10
2020-03-19,26,-14
2020-03-20,40,-18
2020-03-21,89,-25
2020-03-22,119,-70
2020-03-23,53,-52
2020-03-24,70,-64
2020-03-25,87,-73
2020-03-26,75,-73
2020-03-27,149,-73
2020-03-28,106,-73
2020-03-29,92,-71
2020-03-30,180,-74
2020-03-31,146,-73
2020-04-01,568,-73
2020-04-02,336,-74
2020-04-03,601,-73
2020-04-04,472,-73
2020-04-05,693,-71
2020-04-06,354,-73
2020-04-07,773,-67
2020-04-08,540,-68
2020-04-09,678,-68
2020-04-10,1035,-69
2020-04-11,909,-69
2020-04-12,796,-67
2020-04-13,1211,-69
2020-04-14,1075,-69
2020-04-15,942,-66
2020-04-16,1007,-65
2020-04-17,991,-65
2020-04-18,1334,-67
2020-04-19,1553,-65
2020-04-20,1335,-67
2020-04-21,1384,-66
2020-04-22,1409,-66
2020-04-23,1684,-66
2020-04-24,1429,-66
2020-04-25,1990,-66
2020-04-26,1396,-66
2020-04-27,1543,-67
2020-04-28,1897,-66
2020-04-29,1718,-64
2020-04-30,1993,-64
2020-05-01,2293,-65
2020-05-02,2644,-64
2020-05-03,2553,-63
2020-05-04,3900,-61
2020-05-05,2958,-59
2020-05-06,3561,-56
2020-05-07,3390,-57
2020-05-08,3320,-56
2020-05-09,3277,-57
2020-05-10,4213,-58
2020-05-11,3604,-56
2020-05-12,3525,-55
2020-05-13,3722,-53
2020-05-14,3967,-54
2020-05-15,3970,-52
2020-05-16,4987,-52
2020-05-17,5242,-54
2020-05-18,4970,-52
2020-05-19,5611,-50
2020-05-20,5609,-49
2020-05-21,6088,-49
2020-05-22,6654,-48
2020-05-23,6767,-48
2020-05-24,6977,-50
2020-05-25,6535,-51
2020-05-26,6387,-46
2020-05-27,6566,-45
2020-05-28,7466,-46
2020-05-29,7964,-45
2020-05-30,8380,-44
2020-05-31,8392,-46
2020-06-01,8171,-41
2020-06-02,8909,-40
2020-06-03,9304,-40
2020-06-04,9851,-39
2020-06-05,9887,-39
2020-06-06,9971,-39
2020-06-07,9983,-41
2020-06-08,9987,-38
2020-06-09,9985,-37
2020-06-10,9996,-35
2020-06-11,10956,-36
2020-06-12,11458,-36
2020-06-13,11929,-37
2020-06-14,11502,-39
2020-06-15,10667,-37
2020-06-16,10974,-37
2020-06-17,12881,-35
2020-06-18,13586,-38
2020-06-19,14516,-38
2020-06-20,15413,-38
2020-06-21,14821,-47
2020-06-22,14933,-37
2020-06-23,15968,-36
2020-06-24,16922,-36
2020-06-25,17296,-38
2020-06-26,18552,-38
2020-06-27,19906,-39
2020-06-28,19459,-42
2020-06-29,18522,-39
2020-06-30,18653,-38
2020-07-01,19148,-38
2020-07-02,20903,-39
2020-07-03,22771,-39
2020-07-04,24850,-40
2020-07-05,24248,-48
2020-07-06,22252,-40
2020-07-07,22752,-39
2020-07-08,24879,-39
2020-07-09,26506,-40
2020-07-10,27114,-39
2020-07-11,28637,-43
2020-07-12,28701,-51
2020-07-13,28498,-40
2020-07-14,29429,-41
2020-07-15,32695,-41
2020-07-16,34956,-42
2020-07-17,34884,-41
2020-07-18,38902,-44
2020-07-19,40425,-51
2020-07-20,37148,-43
2020-07-21,37724,-42
2020-07-22,45720,-39
2020-07-23,49310,-43
2020-07-24,48916,-39
2020-07-25,48661,-45
2020-07-26,49931,-49
2020-07-27,47703,-39
2020-07-28,48513,-39
2020-07-29,52123,-40
2020-07-30,55078,-37
2020-07-31,57118,-37
2020-08-01,54735,-41
2020-08-02,52972,-42
2020-08-03,52050,-39
2020-08-04,52509,-39
2020-08-05,56282,-43
2020-08-06,62538,-39
2020-08-07,61537,-37
2020-08-08,64399,-43
2020-08-09,62064,-45
2020-08-10,53601,-36
2020-08-11,60963,-37
2020-08-12,66999,-39
2020-08-13,64553,-39
2020-08-14,65002,-35
2020-08-15,63490,-43
2020-08-16,57981,-45
2020-08-17,55079,-35
2020-08-18,64531,-35
2020-08-19,69652,-34
2020-08-20,68898,-37
2020-08-21,69878,-34
2020-08-22,69239,-40
2020-08-23,61408,-43
2020-08-24,60975,-33
2020-08-25,67151,-33
2020-08-26,75760,-32
2020-08-27,77266,-36
2020-08-28,76472,-33
2020-08-29,78761,-36
2020-08-30,78512,-40
2020-08-31,69921,-35
2020-09-01,78357,-32
2020-09-02,83883,-31
2020-09-03,83341,-33
2020-09-04,86432,-31
2020-09-05,90632,-31
2020-09-06,90802,-33
2020-09-07,75809,-34
2020-09-08,89706,-29
2020-09-09,95735,-29
2020-09-10,96551,-30
2020-09-11,97570,-34
2020-09-12,94372,-31
2020-09-13,92071,-31
2020-09-14,83809,-31
2020-09-15,90123,-30
2020-09-16,97894,-28
2020-09-17,96424,-34
2020-09-18,93337,-31
2020-09-19,92605,-30
2020-09-20,86961,-31
2020-09-21,75083,-31
2020-09-22,83347,-29
2020-09-23,86508,-28
2020-09-24,86052,-28
2020-09-25,85362,-29
2020-09-26,88600,-27
2020-09-27,82170,-25
2020-09-28,70589,-28
2020-09-29,80472,-26
2020-09-30,86821,-24
2020-10-01,81484,-24
2020-10-02,79476,-28
2020-10-03,75829,-24
2020-10-04,74442,-23
2020-10-05,61267,-24
2020-10-06,72049,-23
2020-10-07,78524,-22
2020-10-08,70496,-24
2020-10-09,73272,-24
2020-10-10,74383,-25
2020-10-11,66732,-23
2020-10-12,55342,-24
2020-10-13,63509,-24
2020-10-14,67708,-22
2020-10-15,63371,-21
2020-10-16,62212,-19
2020-10-17,61871,-20
2020-10-18,55722,-18
2020-10-19,46790,-20
2020-10-20,54044,-20
2020-10-21,55839,-18
2020-10-22,54366,-18
2020-10-23,53370,-16
2020-10-24,50129,-16
2020-10-25,45148,-15
2020-10-26,36470,-21
2020-10-27,43893,-18
2020-10-28,49881,-17
2020-10-29,48648,-19
2020-10-30,48268,-21
2020-10-31,46963,-21
2020-11-01,45231,-16
2020-11-02,38310,-19
