Date,Cases,Mobility: Retail
2020-03-02,2,0
2020-03-03,1,-1
2020-03-04,22,0
2020-03-05,1,-1
2020-03-06,2,-1
2020-03-07,3,0
2020-03-08,6,2
2020-03-09,10,-1
2020-03-10,6,-19
2020-03-11,23,-5
2020-03-12,2,-3
2020-03-13,8,-5
2020-03-14,7,-11
2020-03-15,3,-11
2020-03-16,32,-8
2020-03-17,12,-11
2020-03-18,28,-12
2020-03-19,26,-16
2020-03-20,40,-22
2020-03-21,89,-34
2020-03-22,119,-78
2020-03-23,53,-54
2020-03-24,70,-68
2020-03-25,87,-77
2020-03-26,75,-76
2020-03-27,149,-77
2020-03-28,106,-78
2020-03-29,92,-77
2020-03-30,180,-76
2020-03-31,146,-75
2020-04-01,568,-76
2020-04-02,336,-76
2020-04-03,601,-76
2020-04-04,472,-77
2020-04-05,693,-77
2020-04-06,354,-76
2020-04-07,773,-78
2020-04-08,540,-78
2020-04-09,678,-78
2020-04-10,1035,-79
2020-04-11,909,-80
2020-04-12,796,-79
2020-04-13,1211,-78
2020-04-14,1075,-78
2020-04-15,942,-78
2020-04-16,1007,-85
2020-04-17,991,-85
2020-04-18,1334,-87
2020-04-19,1553,-86
2020-04-20,1335,-86
2020-04-21,1384,-85
2020-04-22,1409,-86
2020-04-23,1684,-86
2020-04-24,1429,-85
2020-04-25,1990,-86
2020-04-26,1396,-86
2020-04-27,1543,-85
2020-04-28,1897,-85
2020-04-29,1718,-85
2020-04-30,1993,-84
2020-05-01,2293,-85
2020-05-02,2644,-85
2020-05-03,2553,-85
2020-05-04,3900,-81
2020-05-05,2958,-81
2020-05-06,3561,-79
2020-05-07,3390,-79
2020-05-08,3320,-79
2020-05-09,3277,-80
2020-05-10,4213,-82
2020-05-11,3604,-78
2020-05-12,3525,-78
2020-05-13,3722,-77
2020-05-14,3967,-77
2020-05-15,3970,-76
2020-05-16,4987,-77
2020-05-17,5242,-79
2020-05-18,4970,-74
2020-05-19,5611,-73
2020-05-20,5609,-72
2020-05-21,6088,-72
2020-05-22,6654,-72
2020-05-23,6767,-72
2020-05-24,6977,-76
2020-05-25,6535,-71
2020-05-26,6387,-70
2020-05-27,6566,-69
2020-05-28,7466,-69
2020-05-29,7964,-69
2020-05-30,8380,-69
2020-05-31,8392,-73
2020-06-01,8171,-65
2020-06-02,8909,-65
2020-06-03,9304,-65
2020-06-04,9851,-64
2020-06-05,9887,-62
2020-06-06,9971,-63
2020-06-07,9983,-67
2020-06-08,9987,-59
2020-06-09,9985,-59
2020-06-10,9996,-58
2020-06-11,10956,-57
2020-06-12,11458,-57
2020-06-13,11929,-59
2020-06-14,11502,-64
2020-06-15,10667,-56
2020-06-16,10974,-57
2020-06-17,12881,-56
2020-06-18,13586,-57
2020-06-19,14516,-57
2020-06-20,15413,-59
2020-06-21,14821,-68
2020-06-22,14933,-55
2020-06-23,15968,-56
2020-06-24,16922,-56
2020-06-25,17296,-58
2020-06-26,18552,-58
2020-06-27,19906,-60
2020-06-28,19459,-65
2020-06-29,18522,-57
2020-06-30,18653,-55
2020-07-01,19148,-56
2020-07-02,20903,-56
2020-07-03,22771,-57
2020-07-04,24850,-59
2020-07-05,24248,-68
2020-07-06,22252,-56
2020-07-07,22752,-56
2020-07-08,24879,-56
2020-07-09,26506,-57
2020-07-10,27114,-57
2020-07-11,28637,-61
2020-07-12,28701,-71
2020-07-13,28498,-55
2020-07-14,29429,-58
2020-07-15,32695,-59
2020-07-16,34956,-59
2020-07-17,34884,-59
2020-07-18,38902,-64
2020-07-19,40425,-71
2020-07-20,37148,-58
2020-07-21,37724,-59
2020-07-22,45720,-57
2020-07-23,49310,-59
2020-07-24,48916,-57
2020-07-25,48661,-64
2020-07-26,49931,-70
2020-07-27,47703,-56
2020-07-28,48513,-57
2020-07-29,52123,-57
2020-07-30,55078,-54
2020-07-31,57118,-54
2020-08-01,54735,-59
2020-08-02,52972,-61
2020-08-03,52050,-55
2020-08-04,52509,-55
2020-08-05,56282,-54
2020-08-06,62538,-51
2020-08-07,61537,-50
2020-08-08,64399,-56
2020-08-09,62064,-62
2020-08-10,53601,-46
2020-08-11,60963,-48
2020-08-12,66999,-49
2020-08-13,64553,-50
2020-08-14,65002,-47
2020-08-15,63490,-56
2020-08-16,57981,-61
2020-08-17,55079,-46
2020-08-18,64531,-47
2020-08-19,69652,-47
2020-08-20,68898,-49
2020-08-21,69878,-47
2020-08-22,69239,-56
2020-08-23,61408,-61
2020-08-24,60975,-45
2020-08-25,67151,-45
2020-08-26,75760,-46
2020-08-27,77266,-48
2020-08-28,76472,-46
2020-08-29,78761,-52
2020-08-30,78512,-58
2020-08-31,69921,-45
2020-09-01,78357,-44
2020-09-02,83883,-44
2020-09-03,83341,-44
2020-09-04,86432,-43
2020-09-05,90632,-46
2020-09-06,90802,-51
2020-09-07,75809,-43
2020-09-08,89706,-42
2020-09-09,95735,-43
2020-09-10,96551,-43
2020-09-11,97570,-43
2020-09-12,94372,-42
2020-09-13,92071,-46
2020-09-14,83809,-38
2020-09-15,90123,-39
2020-09-16,97894,-38
2020-09-17,96424,-39
2020-09-18,93337,-38
2020-09-19,92605,-40
2020-09-20,86961,-44
2020-09-21,75083,-36
2020-09-22,83347,-39
2020-09-23,86508,-41
2020-09-24,86052,-41
2020-09-25,85362,-43
2020-09-26,88600,-43
2020-09-27,82170,-45
2020-09-28,70589,-40
2020-09-29,80472,-40
2020-09-30,86821,-39
2020-10-01,81484,-39
2020-10-02,79476,-38
2020-10-03,75829,-40
2020-10-04,74442,-43
2020-10-05,61267,-36
2020-10-06,72049,-36
2020-10-07,78524,-36
2020-10-08,70496,-36
2020-10-09,73272,-35
2020-10-10,74383,-38
2020-10-11,66732,-40
2020-10-12,55342,-34
2020-10-13,63509,-35
2020-10-14,67708,-33
2020-10-15,63371,-32
2020-10-16,62212,-31
2020-10-17,61871,-36
2020-10-18,55722,-36
2020-10-19,46790,-31
2020-10-20,54044,-32
2020-10-21,55839,-29
2020-10-22,54366,-29
2020-10-23,53370,-28
2020-10-24,50129,-31
2020-10-25,45148,-34
2020-10-26,36470,-29
2020-10-27,43893,-29
2020-10-28,49881,-29
2020-10-29,48648,-29
2020-10-30,48268,-30
2020-10-31,46963,-34
2020-11-01,45231,-33
2020-11-02,38310,-28
