Date,Cases,Stringency Index
2020-03-02,2,10.19
2020-03-03,1,10.19
2020-03-04,22,10.19
2020-03-05,1,26.85
2020-03-06,2,26.85
2020-03-07,3,26.85
2020-03-08,6,26.85
2020-03-09,10,26.85
2020-03-10,6,26.85
2020-03-11,23,26.85
2020-03-12,2,26.85
2020-03-13,8,33.33
2020-03-14,7,36.11
2020-03-15,3,38.89
2020-03-16,32,48.15
2020-03-17,12,48.15
2020-03-18,28,50
2020-03-19,26,59.72
2020-03-20,40,70.83
2020-03-21,89,76.39
2020-03-22,119,100
2020-03-23,53,86.57
2020-03-24,70,86.57
2020-03-25,87,100
2020-03-26,75,100
2020-03-27,149,100
2020-03-28,106,100
2020-03-29,92,100
2020-03-30,180,100
2020-03-31,146,100
2020-04-01,568,100
2020-04-02,336,100
2020-04-03,601,100
2020-04-04,472,100
2020-04-05,693,100
2020-04-06,354,100
2020-04-07,773,100
2020-04-08,540,100
2020-04-09,678,100
2020-04-10,1035,100
2020-04-11,909,100
2020-04-12,796,100
2020-04-13,1211,100
2020-04-14,1075,100
2020-04-15,942,100
2020-04-16,1007,100
2020-04-17,991,100
2020-04-18,1334,100
2020-04-19,1553,100
2020-04-20,1335,96.3
2020-04-21,1384,96.3
2020-04-22,1409,96.3
2020-04-23,1684,96.3
2020-04-24,1429,96.3
2020-04-25,1990,96.3
2020-04-26,1396,96.3
2020-04-27,1543,96.3
2020-04-28,1897,96.3
2020-04-29,1718,96.3
2020-04-30,1993,96.3
2020-05-01,2293,96.3
2020-05-02,2644,96.3
2020-05-03,2553,96.3
2020-05-04,3900,81.94
2020-05-05,2958,81.94
2020-05-06,3561,81.94
2020-05-07,3390,81.94
2020-05-08,3320,81.94
2020-05-09,3277,81.94
2020-05-10,4213,81.94
2020-05-11,3604,81.94
2020-05-12,3525,81.94
2020-05-13,3722,81.94
2020-05-14,3967,81.94
2020-05-15,3970,81.94
2020-05-16,4987,81.94
2020-05-17,5242,81.94
2020-05-18,4970,79.17
2020-05-19,5611,79.17
2020-05-20,5609,79.17
2020-05-21,6088,79.17
2020-05-22,6654,79.17
2020-05-23,6767,79.17
2020-05-24,6977,79.17
2020-05-25,6535,79.17
2020-05-26,6387,79.17
2020-05-27,6566,79.17
2020-05-28,7466,79.17
2020-05-29,7964,79.17
2020-05-30,8380,79.17
2020-05-31,8392,79.17
2020-06-01,8171,75.46
2020-06-02,8909,75.46
2020-06-03,9304,75.46
2020-06-04,9851,75.46
2020-06-05,9887,75.46
2020-06-06,9971,75.46
2020-06-07,9983,75.46
2020-06-08,9987,75.46
2020-06-09,9985,76.85
2020-06-10,9996,76.85
2020-06-11,10956,76.85
2020-06-12,11458,76.85
2020-06-13,11929,76.85
2020-06-14,11502,76.85
2020-06-15,10667,76.85
2020-06-16,10974,76.85
2020-06-17,12881,76.85
2020-06-18,13586,76.39
2020-06-19,14516,76.39
2020-06-20,15413,76.39
2020-06-21,14821,76.39
2020-06-22,14933,76.39
2020-06-23,15968,76.39
2020-06-24,16922,76.39
2020-06-25,17296,76.39
2020-06-26,18552,76.39
2020-06-27,19906,76.39
2020-06-28,19459,76.39
2020-06-29,18522,76.39
2020-06-30,18653,76.39
2020-07-01,19148,74.07
2020-07-02,20903,74.07
2020-07-03,22771,74.07
2020-07-04,24850,74.07
2020-07-05,24248,74.07
2020-07-06,22252,74.07
2020-07-07,22752,74.07
2020-07-08,24879,74.07
2020-07-09,26506,74.07
2020-07-10,27114,77.78
2020-07-11,28637,77.78
2020-07-12,28701,77.78
2020-07-13,28498,77.78
2020-07-14,29429,77.78
2020-07-15,32695,77.78
2020-07-16,34956,77.78
2020-07-17,34884,77.78
2020-07-18,38902,77.78
2020-07-19,40425,77.78
2020-07-20,37148,77.78
2020-07-21,37724,77.78
2020-07-22,45720,77.78
2020-07-23,49310,77.78
2020-07-24,48916,77.78
2020-07-25,48661,77.78
2020-07-26,49931,77.78
2020-07-27,47703,77.78
2020-07-28,48513,77.78
2020-07-29,52123,77.78
2020-07-30,55078,77.78
2020-07-31,57118,77.78
2020-08-01,54735,79.63
2020-08-02,52972,79.63
2020-08-03,52050,79.63
