Date,Cases,Dew Point
2020-03-02,2,15.708333
2020-03-03,1,17.381944
2020-03-04,22,17.604167
2020-03-05,1,17.486111
2020-03-06,2,18.902778
2020-03-07,3,19.381944
2020-03-08,6,17.659722
2020-03-09,10,14.479167
2020-03-10,6,15.645833
2020-03-11,23,17.52381
2020-03-12,2,20.381944
2020-03-13,8,20.579365
2020-03-14,7,19.416667
2020-03-15,3,19.479167
2020-03-16,32,19.243056
2020-03-17,12,17.951389
2020-03-18,28,17.465278
2020-03-19,26,16.952381
2020-03-20,40,16.625
2020-03-21,89,17.881944
2020-03-22,119,18
2020-03-23,53,17.618056
2020-03-24,70,18.118056
2020-03-25,87,17.020833
2020-03-26,75,17.604167
2020-03-27,149,18.986111
2020-03-28,106,19.506944
2020-03-29,92,18.506944
2020-03-30,180,18.388889
2020-03-31,146,18.965278
2020-04-01,568,18.4375
2020-04-02,336,16.97619
2020-04-03,601,14.986111
2020-04-04,472,16.972222
2020-04-05,693,16.34127
2020-04-06,354,15.270833
2020-04-07,773,17.659722
2020-04-08,540,18.119048
2020-04-09,678,17.875
2020-04-10,1035,18.125
2020-04-11,909,15.555556
2020-04-12,796,15.619048
2020-04-13,1211,15.962963
2020-04-14,1075,16.666667
2020-04-15,942,16.342593
2020-04-16,1007,17.481481
2020-04-17,991,17.583333
2020-04-18,1334,17.768519
2020-04-19,1553,18.284722
2020-04-20,1335,18.111111
2020-04-21,1384,19.743056
2020-04-22,1409,19.875
2020-04-23,1684,19.729167
2020-04-24,1429,20.3125
2020-04-25,1990,21.236111
2020-04-26,1396,20.3125
2020-04-27,1543,19.805556
2020-04-28,1897,19.736111
2020-04-29,1718,19.013889
2020-04-30,1993,19.041667
2020-05-01,2293,19.208333
2020-05-02,2644,19.722222
2020-05-03,2553,20.756944
2020-05-04,3900,21.381944
2020-05-05,2958,20.854167
2020-05-06,3561,20.243056
2020-05-07,3390,20.0625
2020-05-08,3320,20.923611
2020-05-09,3277,20.576389
2020-05-10,4213,19.611111
2020-05-11,3604,19.416667
2020-05-12,3525,19.618056
2020-05-13,3722,20.208333
2020-05-14,3967,20.291667
2020-05-15,3970,20.520833
2020-05-16,4987,20.479167
2020-05-17,5242,20.416667
2020-05-18,4970,20.298611
2020-05-19,5611,18.284722
2020-05-20,5609,16.152778
2020-05-21,6088,15.873016
2020-05-22,6654,15.174603
2020-05-23,6767,17.770833
2020-05-24,6977,18.659722
2020-05-25,6535,18.465278
2020-05-26,6387,18.9375
2020-05-27,6566,19.576389
2020-05-28,7466,20.111111
2020-05-29,7964,22
2020-05-30,8380,22.027778
2020-05-31,8392,22.416667
2020-06-01,8171,21.986111
2020-06-02,8909,23.222222
2020-06-03,9304,23.354167
2020-06-04,9851,23.3125
2020-06-05,9887,21.756944
2020-06-06,9971,22.131944
2020-06-07,9983,23.145833
2020-06-08,9987,23.333333
2020-06-09,9985,22.9375
2020-06-10,9996,23.486111
2020-06-11,10956,24.416667
2020-06-12,11458,24.881944
2020-06-13,11929,25.006944
2020-06-14,11502,25.527778
2020-06-15,10667,25.201389
2020-06-16,10974,24.9375
2020-06-17,12881,24.652778
2020-06-18,13586,24.444444
2020-06-19,14516,23.930556
2020-06-20,15413,24.3125
2020-06-21,14821,24.694444
2020-06-22,14933,24.743056
2020-06-23,15968,24.270833
2020-06-24,16922,25.013889
2020-06-25,17296,25.534722
2020-06-26,18552,25.069444
2020-06-27,19906,25.229167
2020-06-28,19459,24.798611
2020-06-29,18522,24.506944
2020-06-30,18653,24.805556
2020-07-01,19148,25.069444
2020-07-02,20903,25.895833
2020-07-03,22771,25.847222
2020-07-04,24850,25.555556
2020-07-05,24248,25.381944
2020-07-06,22252,25.118056
2020-07-07,22752,25.270833
2020-07-08,24879,25.361111
2020-07-09,26506,25.472222
2020-07-10,27114,25.131944
2020-07-11,28637,24.777778
2020-07-12,28701,24.909722
2020-07-13,28498,25.069444
2020-07-14,29429,24.944444
2020-07-15,32695,25.145833
2020-07-16,34956,25.041667
2020-07-17,34884,25.284722
2020-07-18,38902,25.215278
2020-07-19,40425,25.5
2020-07-20,37148,25.013889
2020-07-21,37724,24.826389
2020-07-22,45720,25.076389
2020-07-23,49310,24.430556
2020-07-24,48916,24.465278
2020-07-25,48661,24.791667
2020-07-26,49931,25.020833
2020-07-27,47703,25.305556
2020-07-28,48513,25.416667
2020-07-29,52123,25.111111
2020-07-30,55078,25.298611
2020-07-31,57118,25.506944
2020-08-01,54735,25.326389
2020-08-02,52972,25.680556
2020-08-03,52050,25.118056
2020-08-04,52509,25.3125
2020-08-05,56282,24.847222
2020-08-06,62538,24.809524
2020-08-07,61537,25.152778
2020-08-08,64399,25.256944
2020-08-09,62064,25.486111
2020-08-10,53601,25.444444
2020-08-11,60963,25.145833
2020-08-12,66999,25.569444
2020-08-13,64553,25.3
2020-08-14,65002,25.020833
2020-08-15,63490,25.208333
2020-08-16,57981,25.236111
2020-08-17,55079,25.3125
2020-08-18,64531,25.222222
2020-08-19,69652,25.486111
2020-08-20,68898,24.868056
2020-08-21,69878,24.555556
2020-08-22,69239,24.625
2020-08-23,61408,24.979167
2020-08-24,60975,24.944444
2020-08-25,67151,24.979167
2020-08-26,75760,24.928571
2020-08-27,77266,24.458333
2020-08-28,76472,23.333333
2020-08-29,78761,23.840278
2020-08-30,78512,24.416667
2020-08-31,69921,25.090278
2020-09-01,78357,25.208333
2020-09-02,83883,24.159722
2020-09-03,83341,24.555556
2020-09-04,86432,24.958333
2020-09-05,90632,25.597222
2020-09-06,90802,25.583333
2020-09-07,75809,25.409722
2020-09-08,89706,25.694444
2020-09-09,95735,25.145833
2020-09-10,96551,25.340278
2020-09-11,97570,24.777778
2020-09-12,94372,25.493056
2020-09-13,92071,25.298611
2020-09-14,83809,25.079365
2020-09-15,90123,25.048611
2020-09-16,97894,25.479167
2020-09-17,96424,25.701389
2020-09-18,93337,25.902778
2020-09-19,92605,25.354167
2020-09-20,86961,25.604167
2020-09-21,75083,24.951389
2020-09-22,83347,25.006944
2020-09-23,86508,24.9375
2020-09-24,86052,24.784722
2020-09-25,85362,24.979167
2020-09-26,88600,25.076389
2020-09-27,82170,24.659722
2020-09-28,70589,24.326389
2020-09-29,80472,23.951389
2020-09-30,86821,22.659722
2020-10-01,81484,22.979167
2020-10-02,79476,23.034722
2020-10-03,75829,23.833333
2020-10-04,74442,24.173611
2020-10-05,61267,24.354167
2020-10-06,72049,24.583333
2020-10-07,78524,24.444444
2020-10-08,70496,24.756944
2020-10-09,73272,24.826389
2020-10-10,74383,24.861111
2020-10-11,66732,24.458333
2020-10-12,55342,24.125
2020-10-13,63509,23.25
2020-10-14,67708,23.548611
2020-10-15,63371,24.027778
2020-10-16,62212,24.020833
2020-10-17,61871,23.791667
2020-10-18,55722,23.555556
2020-10-19,46790,23.083333
2020-10-20,54044,21.626984
2020-10-21,55839,20.992063
2020-10-22,54366,20.319444
2020-10-23,53370,20.361111
2020-10-24,50129,19.215278
2020-10-25,45148,17.770833
2020-10-26,36470,17.381944
2020-10-27,43893,18.270833
2020-10-28,49881,17
2020-10-29,48648,15.601852
2020-10-30,48268,14.62037
2020-10-31,46963,14.895833
2020-11-01,45231,16.972222
2020-11-02,38310,15.965278
