Date,Cases,Relative Humidity
2020-03-02,2,59.396946
2020-03-03,1,65.483604
2020-03-04,22,66.755892
2020-03-05,1,68.473099
2020-03-06,2,75.846033
2020-03-07,3,76.696969
2020-03-08,6,66.386007
2020-03-09,10,56.174471
2020-03-10,6,69.78669
2020-03-11,23,71.975672
2020-03-12,2,75.453786
2020-03-13,8,81.707202
2020-03-14,7,86.939169
2020-03-15,3,77.503839
2020-03-16,32,69.469367
2020-03-17,12,62.860559
2020-03-18,28,61.498113
2020-03-19,26,70.60661
2020-03-20,40,61.573099
2020-03-21,89,65.491402
2020-03-22,119,62.725108
2020-03-23,53,58.526927
2020-03-24,70,56.158342
2020-03-25,87,49.704371
2020-03-26,75,50.69843
2020-03-27,149,53.055613
2020-03-28,106,57.873296
2020-03-29,92,52.808237
2020-03-30,180,55.867037
2020-03-31,146,55.955544
2020-04-01,568,48.876722
2020-04-02,336,43.93995
2020-04-03,601,40.763774
2020-04-04,472,49.199851
2020-04-05,693,46.197022
2020-04-06,354,40.180772
2020-04-07,773,47.799019
2020-04-08,540,53.412029
2020-04-09,678,51.056249
2020-04-10,1035,48.227116
2020-04-11,909,40.412711
2020-04-12,796,38.52003
2020-04-13,1211,38.735892
2020-04-14,1075,40.010682
2020-04-15,942,38.822116
2020-04-16,1007,42.791633
2020-04-17,991,40.498768
2020-04-18,1334,44.317863
2020-04-19,1553,48.088001
2020-04-20,1335,43.7739
2020-04-21,1384,57.508053
2020-04-22,1409,57.699019
2020-04-23,1684,56.304605
2020-04-24,1429,59.089837
2020-04-25,1990,66.603521
2020-04-26,1396,68.146662
2020-04-27,1543,66.257711
2020-04-28,1897,58.4774
2020-04-29,1718,54.115175
2020-04-30,1993,49.201477
2020-05-01,2293,48.859611
2020-05-02,2644,51.965926
2020-05-03,2553,51.524899
2020-05-04,3900,60.971381
2020-05-05,2958,58.984243
2020-05-06,3561,57.774581
2020-05-07,3390,58.843701
2020-05-08,3320,59.737517
2020-05-09,3277,56.41504
2020-05-10,4213,51.164994
2020-05-11,3604,50.522716
2020-05-12,3525,52.649528
2020-05-13,3722,50.554067
2020-05-14,3967,47.644752
2020-05-15,3970,46.625018
2020-05-16,4987,48.634844
2020-05-17,5242,48.424631
2020-05-18,4970,52.180863
2020-05-19,5611,44.249345
2020-05-20,5609,40.408639
2020-05-21,6088,37.905318
2020-05-22,6654,34.138692
2020-05-23,6767,36.758468
2020-05-24,6977,36.780538
2020-05-25,6535,34.395642
2020-05-26,6387,35.845996
2020-05-27,6566,37.144146
2020-05-28,7466,43.943656
2020-05-29,7964,52.318194
2020-05-30,8380,61.176764
2020-05-31,8392,63.432772
2020-06-01,8171,59.487412
2020-06-02,8909,75.354286
2020-06-03,9304,73.538855
2020-06-04,9851,73.644935
2020-06-05,9887,66.276397
2020-06-06,9971,60.308953
2020-06-07,9983,63.029866
2020-06-08,9987,63.647513
2020-06-09,9985,59.065354
2020-06-10,9996,59.949985
2020-06-11,10956,71.546206
2020-06-12,11458,75.48892
2020-06-13,11929,80.780767
2020-06-14,11502,81.656423
2020-06-15,10667,85.215786
2020-06-16,10974,87.268033
2020-06-17,12881,87.496803
2020-06-18,13586,81.95349
2020-06-19,14516,79.163284
2020-06-20,15413,89.103368
2020-06-21,14821,91.198888
2020-06-22,14933,92.588857
2020-06-23,15968,88.725559
2020-06-24,16922,78.096678
2020-06-25,17296,75.346311
2020-06-26,18552,82.124075
2020-06-27,19906,79.111318
2020-06-28,19459,80.444051
2020-06-29,18522,82.108721
2020-06-30,18653,81.220868
2020-07-01,19148,77.039999
2020-07-02,20903,77.76276
2020-07-03,22771,78.503257
2020-07-04,24850,78.306495
2020-07-05,24248,85.174887
2020-07-06,22252,87.692661
2020-07-07,22752,84.682689
2020-07-08,24879,78.340111
2020-07-09,26506,84.37189
2020-07-10,27114,86.567591
2020-07-11,28637,82.818474
2020-07-12,28701,86.015168
2020-07-13,28498,80.69106
2020-07-14,29429,88.784465
2020-07-15,32695,84.217978
2020-07-16,34956,80.794272
2020-07-17,34884,80.002669
2020-07-18,38902,76.02611
2020-07-19,40425,80.29176
2020-07-20,37148,84.242836
2020-07-21,37724,84.785511
2020-07-22,45720,85.043812
2020-07-23,49310,91.903695
2020-07-24,48916,85.448783
2020-07-25,48661,80.916161
2020-07-26,49931,76.066837
2020-07-27,47703,76.874989
2020-07-28,48513,86.358363
2020-07-29,52123,80.157215
2020-07-30,55078,80.463757
2020-07-31,57118,77.394053
2020-08-01,54735,80.934779
2020-08-02,52972,81.497807
2020-08-03,52050,85.799315
2020-08-04,52509,82.967488
2020-08-05,56282,90.669571
2020-08-06,62538,89.453702
2020-08-07,61537,84.763454
2020-08-08,64399,87.858204
2020-08-09,62064,87.155355
2020-08-10,53601,83.16384
2020-08-11,60963,86.375195
2020-08-12,66999,86.909927
2020-08-13,64553,87.5
2020-08-14,65002,87.628631
2020-08-15,63490,90.166391
2020-08-16,57981,93.933185
2020-08-17,55079,91.339275
2020-08-18,64531,89.826407
2020-08-19,69652,87.084544
2020-08-20,68898,87.602199
2020-08-21,69878,90.248729
2020-08-22,69239,86.404684
2020-08-23,61408,86.955387
2020-08-24,60975,81.769687
2020-08-25,67151,83.97667
2020-08-26,75760,93.883887
2020-08-27,77266,96.378227
2020-08-28,76472,88.823046
2020-08-29,78761,81.007358
2020-08-30,78512,77.204024
2020-08-31,69921,77.144618
2020-09-01,78357,78.493446
2020-09-02,83883,86.094236
2020-09-03,83341,80.842505
2020-09-04,86432,76.858377
2020-09-05,90632,82.434584
2020-09-06,90802,78.803479
2020-09-07,75809,82.695149
2020-09-08,89706,80.834829
2020-09-09,95735,83.926433
2020-09-10,96551,84.819693
2020-09-11,97570,82.39526
2020-09-12,94372,79.197046
2020-09-13,92071,77.50818
2020-09-14,83809,77.550753
2020-09-15,90123,76.476771
2020-09-16,97894,75.934074
2020-09-17,96424,75.437627
2020-09-18,93337,81.595341
2020-09-19,92605,81.925031
2020-09-20,86961,80.755602
2020-09-21,75083,93.380605
2020-09-22,83347,90.072278
2020-09-23,86508,83.998793
2020-09-24,86052,83.208327
2020-09-25,85362,84.224253
2020-09-26,88600,83.507163
2020-09-27,82170,76.925688
2020-09-28,70589,75.148486
2020-09-29,80472,73.901104
2020-09-30,86821,72.331122
2020-10-01,81484,77.499067
2020-10-02,79476,72.716324
2020-10-03,75829,79.101077
2020-10-04,74442,86.616656
2020-10-05,61267,85.974985
2020-10-06,72049,82.842089
2020-10-07,78524,84.947094
2020-10-08,70496,84.010788
2020-10-09,73272,80.117999
2020-10-10,74383,82.197127
2020-10-11,66732,79.590434
2020-10-12,55342,75.803397
2020-10-13,63509,72.765685
2020-10-14,67708,77.473994
2020-10-15,63371,79.953508
2020-10-16,62212,77.792743
2020-10-17,61871,74.263005
2020-10-18,55722,72.022842
2020-10-19,46790,72.95977
2020-10-20,54044,67.587171
2020-10-21,55839,67.831594
2020-10-22,54366,67.123237
2020-10-23,53370,66.728496
2020-10-24,50129,64.629865
2020-10-25,45148,59.694569
2020-10-26,36470,58.626091
2020-10-27,43893,62.319237
2020-10-28,49881,60.556468
2020-10-29,48648,58.892023
2020-10-30,48268,56.064972
2020-10-31,46963,54.16955
2020-11-01,45231,59.049477
2020-11-02,38310,55.461167
