Date,Cases,Temperature
2020-03-02,2,24.215278
2020-03-03,1,24.361111
2020-03-04,22,24.1875
2020-03-05,1,23.694444
2020-03-06,2,23.4375
2020-03-07,3,23.770833
2020-03-08,6,24.381944
2020-03-09,10,23.777778
2020-03-10,6,21.4375
2020-03-11,23,22.97619
2020-03-12,2,25.069444
2020-03-13,8,23.968254
2020-03-14,7,21.759259
2020-03-15,3,23.736111
2020-03-16,32,25.277778
2020-03-17,12,25.659722
2020-03-18,28,25.458333
2020-03-19,26,22.642857
2020-03-20,40,24.520833
2020-03-21,89,24.902778
2020-03-22,119,25.736111
2020-03-23,53,26.458333
2020-03-24,70,27.708333
2020-03-25,87,28.722222
2020-03-26,75,28.944444
2020-03-27,149,29.722222
2020-03-28,106,28.770833
2020-03-29,92,29.215278
2020-03-30,180,28.138889
2020-03-31,146,28.736111
2020-04-01,568,30.5
2020-04-02,336,30.944444
2020-04-03,601,29.854167
2020-04-04,472,28.715278
2020-04-05,693,29.134921
2020-04-06,354,30.541667
2020-04-07,773,30.006944
2020-04-08,540,28.666667
2020-04-09,678,29.090278
2020-04-10,1035,30.381944
2020-04-11,909,30.65873
2020-04-12,796,31.579365
2020-04-13,1211,31.814815
2020-04-14,1075,32.027778
2020-04-15,942,32.203704
2020-04-16,1007,31.759259
2020-04-17,991,32.851852
2020-04-18,1334,31.453704
2020-04-19,1553,30.638889
2020-04-20,1335,32.090278
2020-04-21,1384,29.291667
2020-04-22,1409,29.201389
2020-04-23,1684,29.520833
2020-04-24,1429,29.333333
2020-04-25,1990,28.270833
2020-04-26,1396,26.8125
2020-04-27,1543,26.701389
2020-04-28,1897,28.784722
2020-04-29,1718,29.506944
2020-04-30,1993,31.243056
2020-05-01,2293,31.638889
2020-05-02,2644,30.965278
2020-05-03,2553,32.194444
2020-05-04,3900,29.972222
2020-05-05,2958,29.944444
2020-05-06,3561,29.5625
2020-05-07,3390,29.0625
2020-05-08,3320,29.680556
2020-05-09,3277,30.277778
2020-05-10,4213,30.923611
2020-05-11,3604,30.951389
2020-05-12,3525,30.763889
2020-05-13,3722,31.909722
2020-05-14,3967,32.944444
2020-05-15,3970,33.611111
2020-05-16,4987,32.861111
2020-05-17,5242,32.840278
2020-05-18,4970,31.673611
2020-05-19,5611,32.173611
2020-05-20,5609,31.847222
2020-05-21,6088,32.563492
2020-05-22,6654,33.642857
2020-05-23,6767,35.541667
2020-05-24,6977,36.465278
2020-05-25,6535,37.256944
2020-05-26,6387,37.180556
2020-05-27,6566,37.166667
2020-05-28,7466,35.034722
2020-05-29,7964,33.291667
2020-05-30,8380,30.388889
2020-05-31,8392,30.430556
2020-06-01,8171,31.055556
2020-06-02,8909,28.034722
2020-06-03,9304,28.597222
2020-06-04,9851,28.75
2020-06-05,9887,29.069444
2020-06-06,9971,31.006944
2020-06-07,9983,31.263889
2020-06-08,9987,31.208333
2020-06-09,9985,32.138889
2020-06-10,9996,32.388889
2020-06-11,10956,30.229167
2020-06-12,11458,29.763889
2020-06-13,11929,28.701389
2020-06-14,11502,29.055556
2020-06-15,10667,27.951389
2020-06-16,10974,27.270833
2020-06-17,12881,27
2020-06-18,13586,27.951389
2020-06-19,14516,27.993056
2020-06-20,15413,26.298611
2020-06-21,14821,26.263889
2020-06-22,14933,26.055556
2020-06-23,15968,26.305556
2020-06-24,16922,29.277778
2020-06-25,17296,30.444444
2020-06-26,18552,28.5
2020-06-27,19906,29.256944
2020-06-28,19459,28.506944
2020-06-29,18522,27.868056
2020-06-30,18653,28.381944
2020-07-01,19148,29.555556
2020-07-02,20903,30.277778
2020-07-03,22771,30.041667
2020-07-04,24850,29.791667
2020-07-05,24248,28.125
2020-07-06,22252,27.347222
2020-07-07,22752,28.138889
2020-07-08,24879,29.597222
2020-07-09,26506,28.388889
2020-07-10,27114,27.604167
2020-07-11,28637,28.020833
2020-07-12,28701,27.479167
2020-07-13,28498,28.729167
2020-07-14,29429,26.965278
2020-07-15,32695,28.076389
2020-07-16,34956,28.694444
2020-07-17,34884,29.118056
2020-07-18,38902,29.944444
2020-07-19,40425,29.305556
2020-07-20,37148,27.951389
2020-07-21,37724,27.680556
2020-07-22,45720,27.833333
2020-07-23,49310,25.854167
2020-07-24,48916,27.145833
2020-07-25,48661,28.444444
2020-07-26,49931,29.756944
2020-07-27,47703,29.854167
2020-07-28,48513,27.923611
2020-07-29,52123,28.902778
2020-07-30,55078,29.041667
2020-07-31,57118,29.923611
2020-08-01,54735,28.986111
2020-08-02,52972,29.201389
2020-08-03,52050,27.729167
2020-08-04,52509,28.5
2020-08-05,56282,26.506944
2020-08-06,62538,26.714286
2020-08-07,61537,28
2020-08-08,64399,27.458333
2020-08-09,62064,27.854167
2020-08-10,53601,28.618056
2020-08-11,60963,27.659722
2020-08-12,66999,27.972222
2020-08-13,64553,26.5
2020-08-14,65002,27.277778
2020-08-15,63490,26.979167
2020-08-16,57981,26.298611
2020-08-17,55079,26.847222
2020-08-18,64531,27.048611
2020-08-19,69652,27.840278
2020-08-20,68898,27.152778
2020-08-21,69878,26.298611
2020-08-22,69239,27.118056
2020-08-23,61408,27.354167
2020-08-24,60975,28.388889
2020-08-25,67151,27.993056
2020-08-26,75760,26
2020-08-27,77266,25.083333
2020-08-28,76472,25.368056
2020-08-29,78761,27.4375
2020-08-30,78512,28.819444
2020-08-31,69921,29.541667
2020-09-01,78357,29.375
2020-09-02,83883,26.701389
2020-09-03,83341,28.173611
2020-09-04,86432,29.486111
2020-09-05,90632,28.909722
2020-09-06,90802,29.673611
2020-09-07,75809,28.659722
2020-09-08,89706,29.368056
2020-09-09,95735,28.138889
2020-09-10,96551,28.145833
2020-09-11,97570,28.071429
2020-09-12,94372,29.506944
2020-09-13,92071,29.708333
2020-09-14,83809,29.436508
2020-09-15,90123,29.659722
2020-09-16,97894,30.208333
2020-09-17,96424,30.569444
2020-09-18,93337,29.402778
2020-09-19,92605,28.770833
2020-09-20,86961,29.256944
2020-09-21,75083,26.118056
2020-09-22,83347,26.791667
2020-09-23,86508,27.923611
2020-09-24,86052,27.9375
2020-09-25,85362,27.909722
2020-09-26,88600,28.159722
2020-09-27,82170,29.145833
2020-09-28,70589,29.208333
2020-09-29,80472,29.104167
2020-09-30,86821,28.159722
2020-10-01,81484,27.368056
2020-10-02,79476,28.513889
2020-10-03,75829,27.826389
2020-10-04,74442,26.604167
2020-10-05,61267,26.916667
2020-10-06,72049,27.798611
2020-10-07,78524,27.236111
2020-10-08,70496,27.75
2020-10-09,73272,28.6875
2020-10-10,74383,28.215278
2020-10-11,66732,28.388889
2020-10-12,55342,28.888889
2020-10-13,63509,28.680556
2020-10-14,67708,27.875
2020-10-15,63371,27.875
2020-10-16,62212,28.284722
2020-10-17,61871,28.861111
2020-10-18,55722,29.159722
2020-10-19,46790,28.416667
2020-10-20,54044,28.230159
2020-10-21,55839,27.492063
2020-10-22,54366,27.090278
2020-10-23,53370,27.215278
2020-10-24,50129,26.548611
2020-10-25,45148,26.340278
2020-10-26,36470,26.215278
2020-10-27,43893,26.083333
2020-10-28,49881,25.208333
2020-10-29,48648,24.175926
2020-10-30,48268,24.018519
2020-10-31,46963,25.020833
2020-11-01,45231,25.638889
2020-11-02,38310,25.645833
