Date,Cases,Mobility: Retail
2020-03-01,20,13
2020-03-02,14,7
2020-03-03,22,11
2020-03-04,34,8
2020-03-05,74,8
2020-03-06,105,5
2020-03-07,95,10
2020-03-08,121,10
2020-03-09,200,6
2020-03-10,271,6
2020-03-11,287,8
2020-03-12,351,6
2020-03-13,511,2
2020-03-14,777,-6
2020-03-15,823,-9
2020-03-16,887,-8
2020-03-17,1766,-18
2020-03-18,2988,-24
2020-03-19,4835,-28
2020-03-20,5374,-32
2020-03-21,7123,-40
2020-03-22,8459,-44
2020-03-23,11236,-38
2020-03-24,8789,-39
2020-03-25,13963,-40
2020-03-26,16797,-40
2020-03-27,18695,-42
2020-03-28,19979,-48
2020-03-29,18360,-47
2020-03-30,21595,-40
2020-03-31,24998,-40
2020-04-01,27103,-37
2020-04-02,28819,-40
2020-04-03,32425,-42
2020-04-04,34272,-48
2020-04-05,25398,-49
2020-04-06,30561,-42
2020-04-07,30613,-42
2020-04-08,33323,-42
2020-04-09,33901,-43
2020-04-10,35527,-43
2020-04-11,28391,-45
2020-04-12,27620,-63
2020-04-13,25023,-45
2020-04-14,26922,-40
2020-04-15,30148,-36
2020-04-16,31667,-39
2020-04-17,30833,-42
2020-04-18,32922,-45
2020-04-19,24601,-45
2020-04-20,28065,-39
2020-04-21,37289,-38
2020-04-22,17588,-38
2020-04-23,26543,-40
2020-04-24,21352,-40
2020-04-25,48529,-41
2020-04-26,26857,-42
2020-04-27,22541,-35
2020-04-28,24132,-34
2020-04-29,27326,-34
2020-04-30,29917,-34
2020-05-01,33955,-32
2020-05-02,29288,-34
2020-05-03,24972,-34
2020-05-04,22593,-29
2020-05-05,23841,-28
2020-05-06,24128,-29
2020-05-07,28369,-29
2020-05-08,26957,-32
2020-05-09,25612,-30
2020-05-10,20258,-30
2020-05-11,18117,-31
2020-05-12,22048,-28
2020-05-13,20782,-26
2020-05-14,27143,-28
2020-05-15,25508,-29
2020-05-16,24487,-30
2020-05-17,18873,-30
2020-05-18,21841,-26
2020-05-19,19970,-24
2020-05-20,23285,-22
2020-05-21,25434,-22
2020-05-22,24147,-24
2020-05-23,21236,-27
2020-05-24,20568,-25
2020-05-25,19064,-28
2020-05-26,18910,-22
2020-05-27,18721,-21
2020-05-28,21817,-21
2020-05-29,25337,-23
2020-05-30,23297,-24
2020-05-31,19807,-23
2020-06-01,21086,-18
2020-06-02,20544,-18
2020-06-03,19699,-16
2020-06-04,21140,-18
2020-06-05,25178,-20
2020-06-06,22223,-21
2020-06-07,22302,-19
2020-06-08,18822,-16
2020-06-09,18665,-16
2020-06-10,20614,-14
2020-06-11,22883,-15
2020-06-12,25639,-17
2020-06-13,25540,-18
2020-06-14,19543,-16
2020-06-15,19957,-14
2020-06-16,23705,-13
2020-06-17,25559,-12
2020-06-18,27762,-13
2020-06-19,29909,-15
2020-06-20,34158,-17
2020-06-21,25793,-17
2020-06-22,31390,-16
2020-06-23,34720,-13
2020-06-24,34339,-12
2020-06-25,40949,-13
2020-06-26,45527,-17
2020-06-27,42486,-19
2020-06-28,38673,-17
2020-06-29,41556,-13
2020-06-30,43880,-10
2020-07-01,52048,-7
2020-07-02,53399,-4
2020-07-03,54442,-10
2020-07-04,45221,-35
2020-07-05,49093,-22
2020-07-06,49990,-13
2020-07-07,57473,-13
2020-07-08,58906,-12
2020-07-09,63004,-13
2020-07-10,66625,-18
2020-07-11,63051,-19
2020-07-12,57258,-17
2020-07-13,58114,-13
2020-07-14,68518,-12
