Date,Cases,Mobility: Transit Stations
2020-03-01,20,7
2020-03-02,14,2
2020-03-03,22,3
2020-03-04,34,2
2020-03-05,74,2
2020-03-06,105,2
2020-03-07,95,7
2020-03-08,121,5
2020-03-09,200,-1
2020-03-10,271,-3
2020-03-11,287,-2
2020-03-12,351,-6
2020-03-13,511,-10
2020-03-14,777,-10
2020-03-15,823,-13
2020-03-16,887,-22
2020-03-17,1766,-26
2020-03-18,2988,-30
2020-03-19,4835,-36
2020-03-20,5374,-37
2020-03-21,7123,-36
2020-03-22,8459,-44
2020-03-23,11236,-47
2020-03-24,8789,-46
2020-03-25,13963,-47
2020-03-26,16797,-48
2020-03-27,18695,-49
2020-03-28,19979,-49
2020-03-29,18360,-51
2020-03-30,21595,-50
2020-03-31,24998,-49
2020-04-01,27103,-48
2020-04-02,28819,-51
2020-04-03,32425,-51
2020-04-04,34272,-50
2020-04-05,25398,-54
2020-04-06,30561,-52
2020-04-07,30613,-51
2020-04-08,33323,-51
2020-04-09,33901,-54
2020-04-10,35527,-54
2020-04-11,28391,-49
2020-04-12,27620,-56
2020-04-13,25023,-55
2020-04-14,26922,-50
2020-04-15,30148,-49
2020-04-16,31667,-50
2020-04-17,30833,-51
2020-04-18,32922,-47
2020-04-19,24601,-50
2020-04-20,28065,-49
2020-04-21,37289,-49
2020-04-22,17588,-48
2020-04-23,26543,-50
2020-04-24,21352,-50
2020-04-25,48529,-42
2020-04-26,26857,-48
2020-04-27,22541,-48
2020-04-28,24132,-45
2020-04-29,27326,-46
2020-04-30,29917,-47
2020-05-01,33955,-43
2020-05-02,29288,-35
2020-05-03,24972,-40
2020-05-04,22593,-44
2020-05-05,23841,-43
2020-05-06,24128,-43
2020-05-07,28369,-42
2020-05-08,26957,-43
2020-05-09,25612,-35
2020-05-10,20258,-37
2020-05-11,18117,-44
2020-05-12,22048,-41
2020-05-13,20782,-40
2020-05-14,27143,-42
2020-05-15,25508,-40
2020-05-16,24487,-34
2020-05-17,18873,-39
2020-05-18,21841,-43
2020-05-19,19970,-40
2020-05-20,23285,-38
2020-05-21,25434,-37
2020-05-22,24147,-36
2020-05-23,21236,-30
2020-05-24,20568,-33
2020-05-25,19064,-48
2020-05-26,18910,-37
2020-05-27,18721,-37
2020-05-28,21817,-37
2020-05-29,25337,-36
2020-05-30,23297,-26
2020-05-31,19807,-30
2020-06-01,21086,-36
2020-06-02,20544,-36
2020-06-03,19699,-35
2020-06-04,21140,-35
2020-06-05,25178,-34
2020-06-06,22223,-25
2020-06-07,22302,-28
2020-06-08,18822,-34
2020-06-09,18665,-34
2020-06-10,20614,-33
2020-06-11,22883,-33
2020-06-12,25639,-30
2020-06-13,25540,-20
2020-06-14,19543,-23
2020-06-15,19957,-32
2020-06-16,23705,-31
2020-06-17,25559,-31
2020-06-18,27762,-31
2020-06-19,29909,-28
2020-06-20,34158,-20
2020-06-21,25793,-23
2020-06-22,31390,-32
2020-06-23,34720,-30
2020-06-24,34339,-30
2020-06-25,40949,-29
2020-06-26,45527,-28
2020-06-27,42486,-20
2020-06-28,38673,-22
2020-06-29,41556,-31
2020-06-30,43880,-30
2020-07-01,52048,-27
2020-07-02,53399,-24
2020-07-03,54442,-30
2020-07-04,45221,-30
2020-07-05,49093,-23
2020-07-06,49990,-30
2020-07-07,57473,-29
2020-07-08,58906,-30
2020-07-09,63004,-30
2020-07-10,66625,-31
2020-07-11,63051,-21
2020-07-12,57258,-23
2020-07-13,58114,-31
2020-07-14,68518,-31
2020-07-15,67717,-31
2020-07-16,76930,-31
2020-07-17,71494,-29
2020-07-18,63749,-21
2020-07-19,61796,-24
2020-07-20,56750,-32
2020-07-21,72048,-32
2020-07-22,68848,-32
2020-07-23,63196,-31
2020-07-24,78427,-30
2020-07-25,65498,-21
2020-07-26,55993,-24
2020-07-27,56243,-32
2020-07-28,61734,-32
2020-07-29,74985,-31
2020-07-30,68032,-31
2020-07-31,67023,-28
2020-08-01,58407,-20
2020-08-02,47511,-24
2020-08-03,45607,-31
2020-08-04,57525,-33
2020-08-05,52804,-30
2020-08-06,59755,-30
2020-08-07,58150,-29
2020-08-08,56221,-20
2020-08-09,46847,-22
2020-08-10,49530,-32
2020-08-11,46813,-31
2020-08-12,55941,-32
2020-08-13,51094,-31
2020-08-14,64838,-29
2020-08-15,48085,-21
2020-08-16,42104,-24
2020-08-17,35056,-32
2020-08-18,44091,-32
2020-08-19,47426,-32
2020-08-20,44005,-31
2020-08-21,49880,-29
2020-08-22,44378,-21
2020-08-23,34506,-23
2020-08-24,38298,-33
2020-08-25,38119,-33
2020-08-26,42848,-32
2020-08-27,45909,-32
2020-08-28,49654,-30
2020-08-29,44143,-23
2020-08-30,35581,-22
2020-08-31,33850,-32
2020-09-01,44639,-31
2020-09-02,38754,-32
2020-09-03,36249,-28
2020-09-04,51071,-25
2020-09-05,44140,-18
2020-09-06,30555,-24
2020-09-07,24250,-40
2020-09-08,27122,-31
2020-09-09,31927,-32
2020-09-10,37507,-32
2020-09-11,48061,-30
2020-09-12,40820,-22
2020-09-13,33871,-25
2020-09-14,34841,-33
2020-09-15,51473,-32
2020-09-16,24598,-32
2020-09-17,43567,-32
2020-09-18,50209,-30
2020-09-19,40295,-21
2020-09-20,39852,-24
2020-09-21,53153,-33
2020-09-22,38307,-34
2020-09-23,37930,-33
2020-09-24,44213,-33
2020-09-25,55013,-31
2020-09-26,45368,-23
