Date,Cases,Mobility: Workplaces
01-03-2020,20,3
02-03-2020,14,3
03-03-2020,22,2
04-03-2020,34,3
05-03-2020,74,3
06-03-2020,105,2
07-03-2020,95,5
08-03-2020,121,2
09-03-2020,200,0
10-03-2020,271,-2
11-03-2020,287,-1
12-03-2020,351,-3
13-03-2020,511,-7
14-03-2020,777,-1
15-03-2020,823,-7
16-03-2020,887,-20
17-03-2020,1766,-27
18-03-2020,2988,-31
19-03-2020,4835,-33
20-03-2020,5374,-36
21-03-2020,7123,-24
22-03-2020,8459,-31
23-03-2020,11236,-41
24-03-2020,8789,-45
25-03-2020,13963,-46
26-03-2020,16797,-47
27-03-2020,18695,-46
28-03-2020,19979,-34
29-03-2020,18360,-38
30-03-2020,21595,-48
31-03-2020,24998,-49
01-04-2020,27103,-49
02-04-2020,28819,-50
03-04-2020,32425,-50
04-04-2020,34272,-37
05-04-2020,25398,-40
06-04-2020,30561,-50
07-04-2020,30613,-51
08-04-2020,33323,-51
09-04-2020,33901,-52
10-04-2020,35527,-56
11-04-2020,28391,-38
12-04-2020,27620,-45
13-04-2020,25023,-51
14-04-2020,26922,-50
15-04-2020,30148,-49
16-04-2020,31667,-49
17-04-2020,30833,-48
18-04-2020,32922,-33
19-04-2020,24601,-37
20-04-2020,28065,-48
21-04-2020,37289,-49
22-04-2020,17588,-49
23-04-2020,26543,-49
24-04-2020,21352,-48
25-04-2020,48529,-32
26-04-2020,26857,-36
27-04-2020,22541,-46
28-04-2020,24132,-48
29-04-2020,27326,-47
30-04-2020,29917,-47
01-05-2020,33955,-45
02-05-2020,29288,-29
03-05-2020,24972,-31
04-05-2020,22593,-44
05-05-2020,23841,-45
06-05-2020,24128,-44
07-05-2020,28369,-44
08-05-2020,26957,-43
09-05-2020,25612,-26
10-05-2020,20258,-27
11-05-2020,18117,-42
12-05-2020,22048,-43
13-05-2020,20782,-42
14-05-2020,27143,-43
15-05-2020,25508,-42
16-05-2020,24487,-24
17-05-2020,18873,-25
18-05-2020,21841,-40
19-05-2020,19970,-41
20-05-2020,23285,-41
21-05-2020,25434,-41
22-05-2020,24147,-41
23-05-2020,21236,-21
24-05-2020,20568,-24
25-05-2020,19064,-72
26-05-2020,18910,-39
27-05-2020,18721,-38
28-05-2020,21817,-38
29-05-2020,25337,-37
30-05-2020,23297,-12
31-05-2020,19807,-16
01-06-2020,21086,-37
02-06-2020,20544,-37
03-06-2020,19699,-37
04-06-2020,21140,-37
05-06-2020,25178,-36
06-06-2020,22223,-13
07-06-2020,22302,-16
08-06-2020,18822,-36
09-06-2020,18665,-36
10-06-2020,20614,-36
11-06-2020,22883,-36
12-06-2020,25639,-35
13-06-2020,25540,-10
