Date,Cases,Dew Point
2020-03-01,20,-1.62963
2020-03-02,14,-2.382716
2020-03-03,22,-3.820988
2020-03-04,34,-2.975309
2020-03-05,74,-5.716049
2020-03-06,105,-7.222222
2020-03-07,95,-2.932099
2020-03-08,121,1.666667
2020-03-09,200,3.925926
2020-03-10,271,0.697531
2020-03-11,287,3.049383
2020-03-12,351,3.462963
2020-03-13,511,-4.006173
2020-03-14,777,-0.635802
2020-03-15,823,-1.191358
2020-03-16,887,1.388889
2020-03-17,1766,1.654321
2020-03-18,2988,6.777778
2020-03-19,4835,9.006173
2020-03-20,5374,-8.339506
2020-03-21,7123,-8.074074
2020-03-22,8459,0.518519
2020-03-23,11236,3.598765
2020-03-24,8789,6.54321
2020-03-25,13963,5.950617
2020-03-26,16797,4.820988
2020-03-27,18695,6.518519
2020-03-28,19979,5.851852
2020-03-29,18360,0.191358
2020-03-30,21595,0.265432
2020-03-31,24998,5.753086
2020-04-01,27103,5.722222
2020-04-02,28819,3.104938
2020-04-03,32425,-7.635802
2020-04-04,34272,-5.925926
2020-04-05,25398,-0.932099
2020-04-06,30561,8.759259
2020-04-07,30613,5.808642
2020-04-08,33323,1.228395
2020-04-09,33901,-3.858025
2020-04-10,35527,-7.5
2020-04-11,28391,2.820988
2020-04-12,27620,-0.425926
2020-04-13,25023,-11.141975
2020-04-14,26922,-12.598765
2020-04-15,30148,-7.209877
2020-04-16,31667,-1.487654
2020-04-17,30833,-3.166667
2020-04-18,32922,-2.018519
2020-04-19,24601,2.061728
2020-04-20,28065,2.123457
2020-04-21,37289,-0.209877
2020-04-22,17588,7.611111
2020-04-23,26543,5.462963
2020-04-24,21352,7.364198
2020-04-25,48529,4.148148
2020-04-26,26857,1.290123
2020-04-27,22541,7.345679
2020-04-28,24132,8.487654
2020-04-29,27326,3.055556
2020-04-30,29917,3.493827
2020-05-01,33955,7.796296
2020-05-02,29288,8.54321
2020-05-03,24972,6.5
2020-05-04,22593,8.512346
2020-05-05,23841,3.944444
2020-05-06,24128,2.364198
2020-05-07,28369,4.623457
2020-05-08,26957,1.62963
2020-05-09,25612,-0.432099
2020-05-10,20258,-1.512346
2020-05-11,18117,-1.604938
2020-05-12,22048,1.425926
2020-05-13,20782,7.901235
2020-05-14,27143,13.166667
2020-05-15,25508,11.018519
2020-05-16,24487,12.679012
2020-05-17,18873,9.598765
2020-05-18,21841,8.17284
2020-05-19,19970,9.04321
2020-05-20,23285,10.907407
2020-05-21,25434,13.796296
2020-05-22,24147,14.530864
2020-05-23,21236,14.018519
2020-05-24,20568,16.41358
2020-05-25,19064,14.076389
2020-05-26,18910,11.209877
2020-05-27,18721,11.679012
