Date,Cases,Stringency Index
2020-03-01,20,8.33
2020-03-02,14,11.11
2020-03-03,22,11.11
2020-03-04,34,11.11
2020-03-05,74,20.37
2020-03-06,105,20.37
2020-03-07,95,20.37
2020-03-08,121,20.37
2020-03-09,200,20.37
2020-03-10,271,20.37
2020-03-11,287,21.76
2020-03-12,351,30.09
2020-03-13,511,30.09
2020-03-14,777,35.65
2020-03-15,823,41.2
2020-03-16,887,52.31
2020-03-17,1766,55.09
2020-03-18,2988,55.09
2020-03-19,4835,67.13
2020-03-20,5374,67.13
2020-03-21,7123,72.69
2020-03-22,8459,72.69
2020-03-23,11236,72.69
2020-03-24,8789,72.69
2020-03-25,13963,72.69
2020-03-26,16797,72.69
2020-03-27,18695,72.69
2020-03-28,19979,72.69
2020-03-29,18360,72.69
2020-03-30,21595,72.69
2020-03-31,24998,72.69
2020-04-01,27103,72.69
2020-04-02,28819,72.69
2020-04-03,32425,72.69
2020-04-04,34272,72.69
2020-04-05,25398,72.69
2020-04-06,30561,72.69
2020-04-07,30613,72.69
2020-04-08,33323,72.69
2020-04-09,33901,72.69
2020-04-10,35527,72.69
2020-04-11,28391,72.69
2020-04-12,27620,72.69
2020-04-13,25023,72.69
2020-04-14,26922,72.69
2020-04-15,30148,72.69
2020-04-16,31667,72.69
2020-04-17,30833,72.69
2020-04-18,32922,72.69
2020-04-19,24601,72.69
2020-04-20,28065,72.69
2020-04-21,37289,72.69
2020-04-22,17588,72.69
2020-04-23,26543,72.69
2020-04-24,21352,72.69
2020-04-25,48529,72.69
2020-04-26,26857,72.69
2020-04-27,22541,72.69
2020-04-28,24132,72.69
2020-04-29,27326,72.69
2020-04-30,29917,72.69
2020-05-01,33955,72.69
2020-05-02,29288,72.69
2020-05-03,24972,72.69
2020-05-04,22593,72.69
2020-05-05,23841,72.69
2020-05-06,24128,72.69
2020-05-07,28369,72.69
2020-05-08,26957,72.69
2020-05-09,25612,72.69
2020-05-10,20258,72.69
2020-05-11,18117,72.69
2020-05-12,22048,72.69
2020-05-13,20782,72.69
2020-05-14,27143,72.69
2020-05-15,25508,72.69
2020-05-16,24487,72.69
2020-05-17,18873,72.69
2020-05-18,21841,72.69
2020-05-19,19970,72.69
2020-05-20,23285,72.69
2020-05-21,25434,72.69
2020-05-22,24147,72.69
2020-05-23,21236,72.69
2020-05-24,20568,72.69
2020-05-25,19064,72.69
2020-05-26,18910,72.69
2020-05-27,18721,72.69
2020-05-28,21817,72.69
2020-05-29,25337,72.69
2020-05-30,23297,72.69
2020-05-31,19807,72.69
2020-06-01,21086,72.69
2020-06-02,20544,72.69
2020-06-03,19699,72.69
2020-06-04,21140,72.69
2020-06-05,25178,72.69
2020-06-06,22223,72.69
2020-06-07,22302,72.69
2020-06-08,18822,72.69
2020-06-09,18665,72.69
2020-06-10,20614,72.69
2020-06-11,22883,72.69
2020-06-12,25639,72.69
2020-06-13,25540,72.69
2020-06-14,19543,72.69
2020-06-15,19957,68.98
2020-06-16,23705,68.98
2020-06-17,25559,68.98
2020-06-18,27762,68.98
2020-06-19,29909,68.98
2020-06-20,34158,68.98
2020-06-21,25793,68.98
2020-06-22,31390,68.98
2020-06-23,34720,68.98
2020-06-24,34339,68.98
2020-06-25,40949,68.98
2020-06-26,45527,68.98
2020-06-27,42486,68.98
2020-06-28,38673,68.98
2020-06-29,41556,68.98
2020-06-30,43880,68.98
2020-07-01,52048,68.98
2020-07-02,53399,68.98
2020-07-03,54442,68.98
2020-07-04,45221,68.98
2020-07-05,49093,68.98
2020-07-06,49990,68.98
2020-07-07,57473,68.98
2020-07-08,58906,68.98
2020-07-09,63004,68.98
2020-07-10,66625,68.98
2020-07-11,63051,68.98
2020-07-12,57258,68.98
2020-07-13,58114,68.98
2020-07-14,68518,68.98
2020-07-15,67717,68.98
2020-07-16,76930,68.98
2020-07-17,71494,68.98
2020-07-18,63749,68.98
2020-07-19,61796,68.98
2020-07-20,56750,67.13
2020-07-21,72048,67.13
2020-07-22,68848,67.13
2020-07-23,63196,67.13
2020-07-24,78427,67.13
2020-07-25,65498,67.13
2020-07-26,55993,67.13
2020-07-27,56243,67.13
2020-07-28,61734,67.13
2020-07-29,74985,67.13
2020-07-30,68032,67.13
2020-07-31,67023,67.13
2020-08-01,58407,67.13
2020-08-02,47511,67.13
2020-08-03,45607,67.13
2020-08-04,57525,67.13
2020-08-05,52804,67.13
2020-08-06,59755,67.13
2020-08-07,58150,67.13
2020-08-08,56221,67.13
2020-08-09,46847,67.13
2020-08-10,49530,67.13
2020-08-11,46813,67.13
2020-08-12,55941,67.13
2020-08-13,51094,67.13
2020-08-14,64838,67.13
2020-08-15,48085,67.13
2020-08-16,42104,67.13
2020-08-17,35056,67.13
2020-08-18,44091,67.13
2020-08-19,47426,67.13
2020-08-20,44005,67.13
2020-08-21,49880,67.13
2020-08-22,44378,67.13
2020-08-23,34506,67.13
2020-08-24,38298,67.13
2020-08-25,38119,67.13
2020-08-26,42848,67.13
2020-08-27,45909,67.13
2020-08-28,49654,67.13
2020-08-29,44143,67.13
2020-08-30,35581,67.13
2020-08-31,33850,67.13
2020-09-01,44639,67.13
2020-09-02,38754,67.13
2020-09-03,36249,67.13
2020-09-04,51071,67.13
2020-09-05,44140,67.13
2020-09-06,30555,67.13
2020-09-07,24250,67.13
2020-09-08,27122,67.13
2020-09-09,31927,67.13
2020-09-10,37507,67.13
2020-09-11,48061,67.13
2020-09-12,40820,62.5
2020-09-13,33871,62.5
2020-09-14,34841,62.5
2020-09-15,51473,62.5
2020-09-16,24598,62.5
2020-09-17,43567,62.5
2020-09-18,50209,62.5
2020-09-19,40295,62.5
2020-09-20,39852,62.5
2020-09-21,53153,62.5
2020-09-22,38307,62.5
2020-09-23,37930,62.5
2020-09-24,44213,62.5
2020-09-25,55013,62.5
2020-09-26,45368,62.5
2020-09-27,36248,62.5
2020-09-28,32998,62.5
2020-09-29,43017,62.5
2020-09-30,41982,62.5
2020-10-01,44771,62.5
2020-10-02,54471,62.5
2020-10-03,50659,62.5
2020-10-04,34901,62.5
2020-10-05,40705,62.5
2020-10-06,43062,62.5
2020-10-07,48182,62.5
2020-10-08,56800,62.5
2020-10-09,58082,62.5
2020-10-10,54271,62.5
2020-10-11,43597,62.5
2020-10-12,41653,62.5
2020-10-13,52517,66.2
2020-10-14,59386,66.2
2020-10-15,63785,66.2
2020-10-16,70256,66.2
2020-10-17,56611,66.2
2020-10-18,47843,66.2
2020-10-19,60160,66.2
2020-10-20,58549,66.2
2020-10-21,62978,66.2
2020-10-22,72058,66.2
2020-10-23,85329,66.2
2020-10-24,83056,66.2
2020-10-25,59440,66.2
2020-10-26,68359,51.39
2020-10-27,75129,51.39
2020-10-28,78371,51.39
2020-10-29,88130,51.39
2020-10-30,101273,51.39
2020-10-31,78934,51.39
2020-11-01,81001,51.39
2020-11-02,83883,51.39
