Date,Cases,Temperature
2020-03-01,20,8.549383
2020-03-02,14,3.746914
2020-03-03,22,6.41358
2020-03-04,34,8.666667
2020-03-05,74,8.802469
2020-03-06,105,3.617284
2020-03-07,95,11.814815
2020-03-08,121,14.123457
2020-03-09,200,6.938272
2020-03-10,271,3.62963
2020-03-11,287,8.450617
2020-03-12,351,11.95679
2020-03-13,511,2.759259
2020-03-14,777,0.814815
2020-03-15,823,0.493827
2020-03-16,887,2.783951
2020-03-17,1766,3.641975
2020-03-18,2988,8.006173
2020-03-19,4835,12.37037
2020-03-20,5374,-1.753086
2020-03-21,7123,-0.962963
2020-03-22,8459,4.851852
2020-03-23,11236,6.296296
2020-03-24,8789,10.820988
2020-03-25,13963,13.790123
2020-03-26,16797,7.814815
2020-03-27,18695,7.981481
2020-03-28,19979,7.302469
2020-03-29,18360,8.709877
2020-03-30,21595,11.006173
2020-03-31,24998,12.425926
2020-04-01,27103,14.481481
2020-04-02,28819,7.481481
2020-04-03,32425,-2.518519
2020-04-04,34272,0.141975
2020-04-05,25398,4.895062
2020-04-06,30561,15.216049
2020-04-07,30613,18.703704
2020-04-08,33323,16.932099
2020-04-09,33901,8.37037
2020-04-10,35527,4.950617
2020-04-11,28391,15.141975
2020-04-12,27620,5.814815
2020-04-13,25023,-0.790123
2020-04-14,26922,1.320988
2020-04-15,30148,4.339506
2020-04-16,31667,4.481481
2020-04-17,30833,1.962963
2020-04-18,32922,9.987654
2020-04-19,24601,13.246914
2020-04-20,28065,12.981481
2020-04-21,37289,13.753086
2020-04-22,17588,15.740741
2020-04-23,26543,15.765432
2020-04-24,21352,12.481481
2020-04-25,48529,12.154321
2020-04-26,26857,13.438272
2020-04-27,22541,19.574074
2020-04-28,24132,19.5
2020-04-29,27326,13.506173
2020-04-30,29917,14.092593
2020-05-01,33955,20.685185
2020-05-02,29288,19.240741
2020-05-03,24972,17.611111
2020-05-04,22593,16.222222
2020-05-05,23841,13.882716
2020-05-06,24128,12.864198
2020-05-07,28369,12.209877
2020-05-08,26957,10.148148
2020-05-09,25612,9.91358
2020-05-10,20258,8.04321
2020-05-11,18117,6.395062
2020-05-12,22048,6.771605
2020-05-13,20782,10.185185
2020-05-14,27143,16.901235
2020-05-15,25508,18.271605
2020-05-16,24487,17.969136
2020-05-17,18873,15.246914
2020-05-18,21841,14.734568
2020-05-19,19970,15.092593
2020-05-20,23285,17.185185
2020-05-21,25434,17.425926
2020-05-22,24147,16.660494
2020-05-23,21236,17.648148
2020-05-24,20568,21.648148
2020-05-25,19064,16.048611
2020-05-26,18910,16.419753
2020-05-27,18721,18
2020-05-28,21817,20.049383
2020-05-29,25337,19.092593
2020-05-30,23297,20.08642
2020-05-31,19807,21.753086
2020-06-01,21086,25.82716
2020-06-02,20544,26.296296
2020-06-03,19699,26.444444
2020-06-04,21140,25.049383
2020-06-05,25178,26.95679
2020-06-06,22223,28.216049
2020-06-07,22302,29.061728
2020-06-08,18822,28.160494
2020-06-09,18665,22.697531
2020-06-10,20614,16.697531
2020-06-11,22883,21.530864
2020-06-12,25639,24.265432
2020-06-13,25540,25.487654
2020-06-14,19543,27.709877
2020-06-15,19957,28.04321
2020-06-16,23705,27.635802
2020-06-17,25559,28.290123
2020-06-18,27762,26.666667
2020-06-19,29909,19.481481
2020-06-20,34158,21.703704
2020-06-21,25793,22.814815
